time_s,true_x_m,true_y_m,ideal_x_m,ideal_y_m,noise_x_m,noise_y_m,multipath_x_m,multipath_y_m,outage_x_m,outage_y_m,urban_x_m,urban_y_m,error_noise_m,error_multipath_m,error_outage_m,error_urban_m,noise_x_corrected,noise_y_corrected,multipath_x_corrected,multipath_y_corrected,outage_x_corrected,outage_y_corrected,urban_x_corrected,urban_y_corrected,error_noise_corrected_m,error_multipath_corrected_m,error_outage_corrected_m,error_urban_corrected_m,noise_x_kf,noise_y_kf,multipath_x_kf,multipath_y_kf,outage_x_kf,outage_y_kf,urban_x_kf,urban_y_kf,error_noise_kf_m,error_multipath_kf_m,error_outage_kf_m,error_urban_kf_m,true_vx_mps,true_vy_mps,ins_vx_mps,ins_vy_mps,ins_x_m,ins_y_m,error_ins_m,fused_x_m,fused_y_m,error_fused_m
0,0.0,0.0,0.0,0.0,0.9934283060224653,-1.6579900218441446,0.0,3.0,0.9934283060224653,-1.6579900218441446,3.0279544665814075,5.474693235491605,1.932829716178177,3.0,1.932829716178177,6.25625880813988,2.464584123174383,0.9584341891185989,1.4992507183911057,3.9657981160128544,2.464584123174383,0.9584341891185989,3.856236480141529,6.231574330064605,2.6443848046520517,4.23972963920665,2.6443848046520517,7.328238425562753,0.9934283060224653,-1.6579900218441446,0.0,3.0,0.9934283060224653,-1.6579900218441446,3.0279544665814075,5.474693235491605,1.932829716178177,3.0,1.932829716178177,6.25625880813988,0.8,0.6499100040499133,0.6671554095049159,0.7446682309494659,0.0,0.0,0.0,0.6953998142157257,-1.1605930152909012,1.3529808013247238
1,0.8,0.6499100040499133,0.8,0.6499100040499133,0.5234713976576307,-0.47045207634402586,0.9999166770827134,3.6475103240328473,0.5234713976576307,-0.47045207634402586,-2.4890878268646377,3.069356914481287,1.1539840809552182,3.0042593689855708,1.1539840809552182,4.083114263062578,2.518005948650172,1.2772355428648974,1.9983360393489336,4.283823691991337,2.518005948650172,1.2772355428648974,4.370303667308302,6.434057927504908,1.8289564705719177,3.8264001299668764,1.8289564705719177,6.797310900437307,0.8986864941565007,-1.4185861645676736,0.2015800087532017,3.1305360134277795,0.8986864941565007,-1.4185861645676736,2.7003699447483385,5.331871972456895,2.070848962071966,2.5517860185222774,2.070848962071966,5.052937145909514,0.8,0.649640064794446,0.9796018169875379,0.5052917397302945,0.9796018169875379,0.5052917397302945,0.23058893087059526,0.6603105234566029,-0.1777289315217297,0.8393445999892597
2,1.6,1.299280129588892,1.6,1.299280129588892,2.895377076201385,2.7938673398354155,1.9993336665873127,4.289685248496751,2.895377076201385,2.7938673398354155,5.87501471349387,5.3854939647436275,1.977825244702002,3.016950472324727,1.977825244702002,5.913788490231879,2.686959304892083,1.643265855069006,2.4968826722937933,4.599680140492066,2.686959304892083,1.643265855069006,5.884298883052838,6.569357406020591,1.1400906585993766,3.42009338466518,1.1400906585993766,6.791828282494305,1.2371295238008777,-0.7045669073594948,0.506302833602966,3.3270141169729617,1.2371295238008777,-0.7045669073594948,2.8800720091799823,5.334907267242545,2.0364375585771857,2.3038833771216374,2.0364375585771857,4.233777361039748,0.8000000000000002,0.6488304899551537,0.872446774707799,0.5299577933506565,1.8520485916953369,1.035249533080951,0.36502143562802136,2.582378530849571,2.266281997809076,1.3784629813729083
3,2.4000000000000004,1.9475709839602207,2.4000000000000004,1.9475709839602207,5.4460597128160515,3.1683115148271503,2.9977525298943974,4.9259968915218195,5.4460597128160515,3.1683115148271503,9.011064567355477,10.996753205541902,3.2815677987422838,3.03781648126237,3.2815677987422838,11.206867251517394,3.440025922909612,2.3279309129296237,2.9947681229154455,4.913240890860709,3.440025922909612,2.3279309129296237,5.617076054230021,5.942985519347441,1.107396765341853,3.0247226512081253,1.107396765341853,5.1296116469264685,1.8548284518636033,-0.13618664385559787,0.8719458206826627,3.5616794360622044,1.8548284518636033,-0.13618664385559787,3.2119572885135095,5.6413965188515975,2.153893652987083,2.2226775902222626,2.153893652987083,3.782012919145805,0.8,0.6474820080947477,0.6040557929122863,0.7191505406031342,2.456104384607623,1.7544000736840852,0.20115343036873817,4.549073114353522,2.744138082484231,2.2919499107284405
4,3.2,2.5942441457783874,3.2,2.5942441457783874,2.7316932505533282,2.552440957850091,3.994677323180245,5.555925995905268,2.7316932505533282,2.552440957850091,6.426572415975392,7.24399231726612,0.4701688187218251,3.066442797338294,0.4701688187218251,5.659587229983012,4.317374658950091,3.041365947371692,3.990709727175704,5.542150078268468,4.317374658950091,3.041365947371692,5.652698584198213,6.754681917460084,1.2035132047152097,3.0521093131571297,1.2035132047152097,4.829593440131755,1.9687105805412526,0.21299675928848216,1.2775081278075202,3.820680645464577,1.9687105805412526,0.21299675928848216,3.3788429964966618,5.724594763065797,2.6807485428767954,2.2803774876999334,2.6807485428767954,3.135455278671276,0.7999999999999998,0.6455958327558817,0.7432099622047194,0.6039938306338378,3.199314346812342,2.358393904317923,0.23585123810837416,2.8719795794310325,2.4942268417904407,0.34292981411253776
5,4.0,3.238762649471984,4.0,3.238762649471984,3.531726086101639,3.473417416089548,4.989615837018092,6.178962382995709,3.531726086101639,3.473417416089548,13.454274961775516,7.245854798599003,0.5237779280706977,3.102275612818758,0.5237779280706977,10.26840311559937,5.022743206160443,4.0011801426898055,4.984674968911689,6.164185572376633,5.022743206160443,4.0011801426898055,6.332724875349568,7.928197921709063,1.2756504614164055,3.086694684003783,1.2756504614164055,5.2375956808993855,2.1514266384186382,0.5941389855257713,1.7114524390637493,4.0963630944953255,2.1514266384186382,0.5941389855257713,3.88177885582831,5.800531579062809,3.226648074558567,2.4439575409510486,3.226648074558567,2.564495328041403,0.8000000000000003,0.643173661369048,1.077715480564573,0.8206645007485808,4.277029827376915,3.179058405066504,0.2833904057241754,3.7553172084842217,3.385109712782635,0.285108981625633
6,4.800000000000001,3.8805914685164833,4.800000000000001,3.8805914685164833,7.958425631014784,6.435921260093333,5.982080826645359,6.7946053930725725,7.958425631014784,6.435921260093333,4.013739081293123,2.1847541993085455,4.062679265013585,3.144645009095519,4.062679265013585,1.8692432361574616,5.792706493441949,4.370662441128865,5.976179036034203,6.778847566135731,5.792706493441949,4.370662441128865,7.847880002823886,9.711481977096225,1.107084342007896,3.1278244087853615,1.107084342007896,6.5794267709777765,2.7708246824649274,1.217247155378191,2.1669749685990958,4.384168552053107,2.7708246824649274,1.217247155378191,3.888127521776258,5.626574898969632,3.3482764819560003,2.680748159571687,3.3482764819560003,1.9697638325339548,0.8000000000000003,0.6402176737250032,0.4659981134910392,0.5145663516556894,4.743027940867955,3.693624756722193,0.19545425766893515,6.993806323970735,5.613232309081991,2.7955018278458583
7,5.6000000000000005,4.51919799692199,5.6000000000000005,4.51919799692199,7.134869458305818,3.3360552192503308,6.971591229821806,7.402364311854303,7.134869458305818,3.3360552192503308,3.277312176358749,11.156568022280107,1.93795022804937,3.1927903941982256,1.93795022804937,7.032038081496269,6.025150050807524,4.77162389997818,6.964743268108834,7.385646169523391,6.025150050807524,4.77162389997818,8.589762647475082,9.35203632674074,0.4944404941298527,3.1747518507842925,0.4944404941298527,5.682869610540301,3.2003344660014257,1.4257804861788028,2.639845847870969,4.681219722251791,3.2003344660014257,1.4257804861788028,3.85974251653029,5.883557446957261,3.9150512858496818,2.9645849024518744,3.9150512858496818,2.211328292604442,0.7999999999999998,0.6367305300131045,0.7656631056715733,0.7293220175433767,5.5086910465395285,4.4229467742655695,0.132671107800088,6.647015934775931,3.6621226857549023,1.3530781413824098
8,6.4,5.154052528542692,6.4,5.154052528542692,5.4610512281300965,6.248247290882768,7.957673369234603,8.001758782790015,5.4610512281300965,6.248247290882768,2.2710962111948465,11.283968944224132,1.4418345862575412,3.245886201902647,1.4418345862575412,7.390786274845887,6.758985371136975,5.7253343734098445,7.949896352757747,7.984101821187961,6.758985371136975,5.7253343734098445,9.447588832457601,9.89824182492309,0.6747098954107378,3.226663555918676,0.6747098954107378,5.638717032411772,3.4075718396097634,1.8678506170603113,3.127325140850534,4.9856098189669105,3.4075718396097634,1.8678506170603113,3.788289275512734,6.126454121322238,4.444519017635874,3.2770068172218094,4.444519017635874,2.786861633817151,0.7999999999999998,0.6327153684273163,1.0198904388058299,0.6641110656327005,6.5285814853453585,5.08705783989827,0.1449878845979266,5.781310305294675,5.8998904555874185,0.9690465168158557
9,7.2,5.784628733776623,7.2,5.784628733776623,8.28512008717193,5.380243428908835,8.939862136444921,8.592319204810428,8.28512008717193,5.380243428908835,16.4811006058141,17.86848235245376,1.1580211908151894,3.3030661566139896,1.1580211908151894,15.236743311247958,7.695013722141323,6.557177223036747,8.931175503695183,8.573745685594238,7.695013722141323,6.557177223036747,9.642097030315995,10.527440041824432,0.9175346060864985,3.2827034583572505,0.9175346060864985,5.33461310773559,3.8273546209219953,2.1701422498198233,3.627577075356848,5.296018741755332,3.8273546209219953,2.1701422498198233,4.341867885422044,6.638565701377634,4.94360692164361,3.6056823593903804,4.94360692164361,2.982972934677328,0.7999999999999998,0.6281758023420494,0.6999889396602346,0.5892101677856042,7.228570425005593,5.676268007683874,0.11206389313399714,7.968155188522028,5.4690508025413465,0.8304527827252123
